Position,Name,Term Start,State of Birth,Born,Died,Age at inaguration,Age at death,Years in office
1,Washington,1/20/1789,Virginia,2/22/1732,12/14/1799,57,67,8
2,J. Adams,1/20/1797,Massachusetts,10/30/1735,7/4/1826,61,90,4
3,Jefferson,1/20/1801,Virginia,4/13/1743,7/4/1826,57,83,8
4,Madison,1/20/1809,Virginia,3/16/1751,6/28/1836,57,85,8
5,Monroe,1/20/1817,Virginia,4/28/1758,7/4/1831,58,73,8
6,J. Q. Adams,1/20/1825,Massachusetts,7/11/1767,2/23/1848,57,80,4
7,Jackson,1/20/1829,South Carolina,3/15/1767,6/8/1845,61,78,8
8,Van Buren,1/20/1837,New York,12/5/1782,7/24/1862,54,79,4
9,W. H. Harrison,1/20/1841,Virginia,2/9/1773,4/4/1841,68,68,0.8
10,Tyler,1/20/1841,Virginia,3/29/1790,1/18/1862,51,71,4
11,Polk,1/20/1845,North Carolina,11/2/1795,6/15/1849,49,53,4
12,Taylor,1/20/1849,Virginia,11/24/1784,7/9/1850,64,65,1
13,Fillmore,1/20/1850,New York,1/7/1800,3/8/1874,50,74,3
14,Pierce,1/20/1853,New Hampshire,11/23/1804,10/8/1869,48,64,4
15,Buchanan,1/20/1857,Pennsylvania,4/23/1791,6/1/1868,65,77,4
16,Lincoln,1/20/1861,Kentucky,2/12/1809,4/15/1865,52,56,4
17,A. Johnson,1/20/1865,North Carolina,12/29/1808,7/31/1875,56,66,4
18,Grant,1/20/1869,Ohio,4/27/1822,7/23/1885,46,63,8
19,Hayes,1/20/1877,Ohio,10/4/1822,1/17/1893,54,70,4
20,Garfield,1/20/1881,Ohio,11/19/1831,9/19/1881,49,49,0.5
21,Arthur,1/20/1881,Vermont,10/5/1829,11/18/1886,50,56,3
22,Cleveland,1/20/1885,New Jersey,3/18/1837,6/24/1908,47,71,4
23,B. Harrison,1/20/1889,Ohio,8/20/1833,3/13/1901,55,67,4
24,Cleveland,1/20/1893,New Jersey,3/18/1837,6/24/1908,55,71,4
25,McKinley,1/20/1897,Ohio,1/29/1843,9/14/1901,54,58,4
26,T. Roosevelt,1/20/1901,New York,10/27/1858,1/6/1919,42,60,8
27,Taft,1/20/1909,Ohio,9/15/1857,3/8/1930,51,72,4
28,Wilson,1/20/1913,Virginia,12/28/1856,2/3/1924,56,67,8
29,Harding,1/20/1921,Ohio,11/2/1865,8/2/1923,55,57,2
30,Coolidge,1/20/1923,Vermont,7/4/1872,1/5/1933,51,60,6
31,Hoover,1/20/1929,Iowa,8/10/1874,10/20/1964,54,90,4
32,F. D. Roosevelt,1/20/1933,New York,1/30/1882,4/12/1945,51,63,12
33,Truman,1/20/1945,Missouri,5/8/1884,12/26/1972,60,88,8
34,Eisenhower,1/20/1953,Texas,10/14/1890,3/28/1969,62,78,8
35,Kennedy,1/20/1961,Massachusetts,5/29/1917,11/22/1963,43,46,3
36,L. B. Johnson,1/20/1963,Texas,8/27/1908,1/22/1973,55,64,5
37,Nixon,1/20/1969,California,1/9/1913,4/22/1994,56,81,5
38,Ford,1/20/1974,Nebraska,7/14/1913,12/26/2006,61,,3
39,Carter,1/20/1977,Georgia,10/1/1924,,52,,4
40,Reagan,1/20/1981,Illinois,2/6/1911,6/5/2004,69,93,8
41,G.H.W. Bush,1/20/1989,Massachusetts,6/12/1924,,64,,4
42,Clinton,1/20/1993,Arkansas,8/19/1946,,46,,8
43,G. W. Bush,1/20/2001,Connecticut,7/6/1946,,54,,8
44,Obama,1/20/2009,Hawaii,8/4/1961,,47,,8
45,Trump,1/20/2017,New York City,6/14/1946,,70,,4
46,Biden,1/20/2021,Scranton,11/20/1942,,78,,4
47,Trump,1/20/2025,New York City,6/14/1946,,78,,
